"設置位置ID","オーダーID","セクタ管理番号","ベンダー","ANT_NO","Transmitter_Name","RAN種別","BBT_CODE_加入DFGC","作業番号","帯域","BAND","BBU_sys","GPSフラグ"
"SG-03082","R001743045","GPS","","1","ＧＰＳ松山三番町","XGM","51-001","","","GPS","BC02","1"
"SG-03084","R001743047","GPS","","1","ＧＰＳ新居浜上泉","XGM","51-027","","","GPS","BC01","1"
"SG-03086","R001743049","GPS","","1","ＧＰＳ四国中央三島中央","SGM","51-038","","","GPS","FC-02","1"
"SG-03088","R001743034","GPS","","1","ＧＰＳ大洲中村","XGM","51-033","","","GPS","BC02","1"
"SG-03090","R001756131","GPS","","1","ＧＰＳ松山一万","XGM","51-011","","","GPS","BC02","1"
"SG-03091","R001782985","GPS","","1","ＧＰＳ伊予小松","XGM","51-053","","","GPS","BC01","1"
"SG-03093","R001782919","GPS","","1","ＧＰＳ四国中央上分町","XGM","51-037","","","GPS","BC01","1"
"SG-03095","R001792248","GPS","","1","ＧＰＳ八幡浜川上町","","51-023","","","GPS","BC01","1"
"SG-03097","R001792250","GPS","","1","ＧＰＳ愛媛松山市第１２７＿２（仮）","XGM","51-005","","","GPS","BC02","1"
"SG-03098","R001792251","GPS","","1","ＧＰＳ松山森松町","XGM","51-006","","","GPS","BC01","1"
"SG-03099","R001792252","GPS","","1","ＧＰＳ愛媛古川北","XGM","51-006","","","GPS","BC02","1"
"SG-03100","R001792253","GPS","","1","ＧＰＳ愛媛西条市第２４（仮）","XGM","51-029","","","GPS","BC01","1"
"SG-03101","R001792254","GPS","","1","ＧＰＳ愛媛宇和島市第３（仮）","XGM","51-015","","","GPS","BC01","1"
"SG-03102","R001907537","GPS","","1","ＧＰＳ新居浜南","XGM","51-027","","","GPS","BC02","1"
"SG-03106","R001935727","GPS","","1","ＧＰＳ松山南久米","XGM","51-005","","","GPS","BC01","1"
"SG-04001","R001723277","GPS","","1","ＧＰＳ高知札場","XGM","53-001","","","GPS","BC01","1"
"SG-04004","R001723259","GPS","","1","ＧＰＳ高知桟橋通(仮）","XGM","53-002","","","GPS","BC02","1"
"SG-04005","R001723300","GPS","","1","ＧＰＳ高知朝倉南町","XGM","53-003","","","GPS","BC01","1"
"SG-04006","R001723301","GPS","","1","ＧＰＳ高知曙町","XGM","53-003","","","GPS","BC02","1"
"SG-04007","R001723302","GPS","","1","ＧＰＳ高知一宮徳谷(仮）","","53-004","","","GPS","BC01","1"
"SG-04008","R001723303","GPS","","1","ＧＰＳ高知仁井田","SGM","53-005","","","GPS","FC-01","1"
"SG-04009","R001723285","GPS","","1","ＧＰＳ桂浜","XGM","53-006","","","GPS","BC01","1"
