"設置位置ID","オーダーID","セクタ管理番号","ベンダー","ANT_NO","Transmitter_Name","RAN種別","BBT_CODE_加入DFGC","作業番号","帯域","BAND","BBU_sys","GPSフラグ"
"CI-05521_1","R001673009","CI-05521_00001","Ericsson","1","CI_L2G中川一色新町_1","2.1G","71-024","6415713","15MHz","2.1GHz-LTE","EA011","0"
"CI-05521_1","R001673009","CI-05521_00002","Ericsson","2","CI_L2G中川一色新町_2","2.1G","71-024","6415713","15MHz","2.1GHz-LTE","EA011","0"
"CI-05521_1","R001673009","CI-05521_00003","Ericsson","3","CI_L2G中川一色新町_3","2.1G","71-024","6415713","15MHz","2.1GHz-LTE","EA011","0"
"CI-06061_1","R001673231","CI-06061_00001","Ericsson","1","CI_L2G安城桜井西_1","2.1G","71-091","6415725","15MHz","2.1GHz-LTE","EA011","0"
"CI-06061_1","R001673231","CI-06061_00002","Ericsson","2","CI_L2G安城桜井西_2","2.1G","71-091","6415725","15MHz","2.1GHz-LTE","EA011","0"
"CI-06061_1","R001673231","CI-06061_00003","Ericsson","3","CI_L2G安城桜井西_3","2.1G","71-091","6415725","15MHz","2.1GHz-LTE","EA011","0"
"CI-06361_1","R001673207","CI-06361_00001","Ericsson","1","CI_L2G豊田亀首_1","2.1G","71-082","6407670","15MHz","2.1GHz-LTE","EA011","0"
"CI-06361_1","R001673207","CI-06361_00002","Ericsson","2","CI_L2G豊田亀首_2","2.1G","71-082","6407670","15MHz","2.1GHz-LTE","EA011","0"
"CI-06361_1","R001673207","CI-06361_00003","Ericsson","3","CI_L2G豊田亀首_3","2.1G","71-082","6407670","15MHz","2.1GHz-LTE","EA011","0"
"CI-06680_1","R001673159","CI-06680_00001","Ericsson","1","CI_L2G春日井松本_1","2.1G","71-071","6412654","15MHz","2.1GHz-LTE","EA011","0"
"CI-06680_1","R001673159","CI-06680_00002","Ericsson","2","CI_L2G春日井松本_2","2.1G","71-071","6412654","15MHz","2.1GHz-LTE","EA011","0"
"CI-06680_1","R001673159","CI-06680_00003","Ericsson","3","CI_L2G春日井松本_3","2.1G","71-071","6412654","15MHz","2.1GHz-LTE","EA011","0"
"CI-06825_1","R001673217","CI-06825_00001","Ericsson","1","CI_L2G豊田大清水_1","2.1G","71-082","6412653","15MHz","2.1GHz-LTE","EA021","0"
"CI-06825_1","R001673217","CI-06825_00002","Ericsson","2","CI_L2G豊田大清水_2","2.1G","71-082","6412653","15MHz","2.1GHz-LTE","EA021","0"
"CI-06825_1","R001673217","CI-06825_00003","Ericsson","3","CI_L2G豊田大清水_3","2.1G","71-082","6412653","15MHz","2.1GHz-LTE","EA021","0"
"CI-06826_1","R001673051","CI-06826_00001","Ericsson","1","CI_L2G豊橋大岩西_1","2.1G","71-045","6415727","15MHz","2.1GHz-LTE","EA011","0"
"CI-06826_1","R001673051","CI-06826_00002","Ericsson","2","CI_L2G豊橋大岩西_2","2.1G","71-045","6415727","15MHz","2.1GHz-LTE","EA011","0"
"CI-06826_1","R001673051","CI-06826_00003","Ericsson","3","CI_L2G豊橋大岩西_3","2.1G","71-045","6415727","15MHz","2.1GHz-LTE","EA011","0"
"CI-06829_1","R001673024","CI-06829_00001","Ericsson","1","CI_L2G豊橋雲谷_1","2.1G","71-045","6415727","15MHz","2.1GHz-LTE","EA011","0"
"CI-06829_1","R001673024","CI-06829_00002","Ericsson","2","CI_L2G豊橋雲谷_2","2.1G","71-045","6415727","15MHz","2.1GHz-LTE","EA011","0"
"CI-06829_1","R001673024","CI-06829_00003","Ericsson","3","CI_L2G豊橋雲谷_3","2.1G","71-045","6415727","15MHz","2.1GHz-LTE","EA011","0"
"CI-06849_1","R001673170","CI-06849_00001","Ericsson","1","CI_L2G春日井中央台北_1","2.1G","71-070","6412655","15MHz","2.1GHz-LTE","EA011","0"
"CI-06849_1","R001673170","CI-06849_00002","Ericsson","2","CI_L2G春日井中央台北_2","2.1G","71-070","6412655","15MHz","2.1GHz-LTE","EA011","0"
"CI-06849_1","R001673170","CI-06849_00003","Ericsson","3","CI_L2G春日井中央台北_3","2.1G","71-070","6412655","15MHz","2.1GHz-LTE","EA011","0"
"CI-07923_1","R001672687","CI-07923_00001","Ericsson","1","CI_L2G可児下恵土西_1","2.1G","72-051","6413985","15MHz","2.1GHz-LTE","EA011","0"
"CI-07923_1","R001672687","CI-07923_00002","Ericsson","2","CI_L2G可児下恵土西_2","2.1G","72-051","6413985","15MHz","2.1GHz-LTE","EA011","0"
"CI-07923_1","R001672687","CI-07923_00003","Ericsson","3","CI_L2G可児下恵土西_3","2.1G","72-051","6413985","15MHz","2.1GHz-LTE","EA011","0"
"CI-09102_1","R001672811","CI-09102_00001","Ericsson","1","CI_L2G浜松池町_1","2.1G","74-024","6375262","15MHz","2.1GHz-LTE","EA271","0"
"CI-09102_1","R001672811","CI-09102_00002","Ericsson","2","CI_L2G浜松池町_2","2.1G","74-024","6375262","15MHz","2.1GHz-LTE","EA271","0"
"CI-09102_1","R001672811","CI-09102_00003","Ericsson","3","CI_L2G浜松池町_3","2.1G","74-024","6375262","15MHz","2.1GHz-LTE","EA271","0"
"CI-09284_1","R001672806","CI-09284_00001","Ericsson","1","CI_L2G浜松寺島_1","2.1G","74-024","6291115","15MHz","2.1GHz-LTE","EA281","0"
"CI-09284_1","R001672806","CI-09284_00002","Ericsson","2","CI_L2G浜松寺島_2","2.1G","74-024","6291115","15MHz","2.1GHz-LTE","EA281","0"
"CI-09284_1","R001672806","CI-09284_00003","Ericsson","3","CI_L2G浜松寺島_3","2.1G","74-024","6291115","15MHz","2.1GHz-LTE","EA281","0"
"CI-09302_1","R001672833","CI-09302_00001","Ericsson","1","CI_L2G浜松金折_1","2.1G","74-063","6415716","15MHz","2.1GHz-LTE","EA011","0"
"CI-09302_1","R001672833","CI-09302_00002","Ericsson","2","CI_L2G浜松金折_2","2.1G","74-063","6415716","15MHz","2.1GHz-LTE","EA011","0"
"CI-09302_1","R001672833","CI-09302_00003","Ericsson","3","CI_L2G浜松金折_3","2.1G","74-063","6415716","15MHz","2.1GHz-LTE","EA011","0"
"CI-09312_1","R001672938","CI-09312_00001","Ericsson","1","CI_L2G掛川中央_1","2.1G","74-133","6415744","15MHz","2.1GHz-LTE","EA131","0"
"CI-09312_1","R001672938","CI-09312_00002","Ericsson","2","CI_L2G掛川中央_2","2.1G","74-133","6415744","15MHz","2.1GHz-LTE","EA131","0"
"CI-09312_1","R001672938","CI-09312_00003","Ericsson","3","CI_L2G掛川中央_3","2.1G","74-133","6415744","15MHz","2.1GHz-LTE","EA131","0"
"CI-09369_1","R001672941","CI-09369_00001","Ericsson","1","CI_L2G掛川満水_1","2.1G","74-133","6415744","15MHz","2.1GHz-LTE","EA131","0"
"CI-09552_1","R001745684","CI-09552_00001","Ericsson","1","CI_L2G浜松富塚南_1","2.1G","74-053","6412673","15MHz","2.1GHz-LTE","EA121","0"
"CI-09552_1","R001745684","CI-09552_00002","Ericsson","2","CI_L2G浜松富塚南_2","2.1G","74-053","6412673","15MHz","2.1GHz-LTE","EA121","0"
"CI-09552_1","R001745684","CI-09552_00003","Ericsson","3","CI_L2G浜松富塚南_3","2.1G","74-053","6412673","15MHz","2.1GHz-LTE","EA121","0"
"CI-09596_1","R001952913","CI-09596_00001","Ericsson","1","CI_L2G湖西山口_1","2.1G","74-036","6415717","15MHz","2.1GHz-LTE","EA011","0"
"CI-09834_1","R001672936","CI-09834_00001","Ericsson","1","CI_L2G掛川上西郷南_1","2.1G","74-133","6415745","15MHz","2.1GHz-LTE","EA061","0"
"CI-09834_1","R001672936","CI-09834_00002","Ericsson","2","CI_L2G掛川上西郷南_2","2.1G","74-133","6415745","15MHz","2.1GHz-LTE","EA061","0"
"CI-09834_1","R001672936","CI-09834_00003","Ericsson","3","CI_L2G掛川上西郷南_3","2.1G","74-133","6415745","15MHz","2.1GHz-LTE","EA061","0"
"CI-10075_1","R001673155","CI-10075_00001","Ericsson","1","CI_L2G春日井気噴_1","2.1G","71-071","6412654","15MHz","2.1GHz-LTE","EA011","0"
"CI-10075_1","R001673155","CI-10075_00002","Ericsson","2","CI_L2G春日井気噴_2","2.1G","71-071","6412654","15MHz","2.1GHz-LTE","EA011","0"
"CI-10075_1","R001673155","CI-10075_00003","Ericsson","3","CI_L2G春日井気噴_3","2.1G","71-071","6412654","15MHz","2.1GHz-LTE","EA011","0"
"CI-10261_1","R001673202","CI-10261_00001","Ericsson","1","CI_L2G豊田越戸_1","2.1G","71-082","6407670","15MHz","2.1GHz-LTE","EA011","0"
"CI-10261_1","R001673202","CI-10261_00002","Ericsson","2","CI_L2G豊田越戸_2","2.1G","71-082","6407670","15MHz","2.1GHz-LTE","EA011","0"
"CI-10261_1","R001673202","CI-10261_00003","Ericsson","3","CI_L2G豊田越戸_3","2.1G","71-082","6407670","15MHz","2.1GHz-LTE","EA011","0"
"CI-10426_1","R001673082","CI-10426_00001","Ericsson","1","CI_L2G岡崎橋目西_1","2.1G","71-051","6415712","15MHz","2.1GHz-LTE","EA011","0"
"CI-11614_1","R001672803","CI-11614_00001","Ericsson","1","CI_L2G浜松市中区０２３Ｗ_1","2.1G","74-024","6375262","15MHz","2.1GHz-LTE","EA271","0"
"CI-11614_1","R001672803","CI-11614_00002","Ericsson","2","CI_L2G浜松市中区０２３Ｗ_2","2.1G","74-024","6375262","15MHz","2.1GHz-LTE","EA271","0"
"CI-11614_1","R001672803","CI-11614_00003","Ericsson","3","CI-11614_1_LTE_D002145411_11_3","2.1G","74-024","","15MHz","2.1GHz-LTE","","0"
"CI-17538_1","R001745673","CI-17538_00001","Ericsson","1","CI_L2G可児姫ケ丘第３_1","2.1G","72-051","6413985","15MHz","2.1GHz-LTE","EA011","0"
"CI-17538_1","R001745673","CI-17538_00002","Ericsson","2","CI_L2G可児姫ケ丘第３_2","2.1G","72-051","6413985","15MHz","2.1GHz-LTE","EA011","0"
"CI-17538_1","R001745673","CI-17538_00003","Ericsson","3","CI_L2G可児姫ケ丘第３_3","2.1G","72-051","6413985","15MHz","2.1GHz-LTE","EA011","0"
"CI-18531_1","R001673721","CI-18531_00001","Ericsson","1","CI_L2G浜松板屋南_1","2.1G","74-024","6349969","15MHz","2.1GHz-LTE","EA281","0"
"CI-18531_1","R001673721","CI-18531_00002","Ericsson","2","CI_L2G浜松板屋南_2","2.1G","74-024","6349969","15MHz","2.1GHz-LTE","EA281","0"
"CI-18531_1","R001673721","CI-18531_00003","Ericsson","3","CI_L2G浜松板屋南_3","2.1G","74-024","6349969","15MHz","2.1GHz-LTE","EA281","0"
"CI-18753_1","R001829310","CI-18753_00001","Ericsson","1","CI_L2G掛川高御所東_1","2.1G","74-133","6415745","15MHz","2.1GHz-LTE","EA061","0"
"CI-18753_1","R001829310","CI-18753_00002","Ericsson","2","CI_L2G掛川高御所東_2","2.1G","74-133","6415745","15MHz","2.1GHz-LTE","EA061","0"
"CI-18848_1","R001725974","CI-18848_00001","Ericsson","1","CI_L2G浜松板屋町第２_1","2.1G","74-024","6415748","15MHz","2.1GHz-LTE","EA041","0"
"CI-18848_1","R001725974","CI-18848_00002","Ericsson","2","CI_L2G浜松板屋町第２_2","2.1G","74-024","6415748","15MHz","2.1GHz-LTE","EA041","0"
"CI-18848_1","R001725974","CI-18848_00003","Ericsson","3","CI_L2G浜松板屋町第２_3","2.1G","74-024","6415748","15MHz","2.1GHz-LTE","EA041","0"
"CI-19160_1","R001746046","CI-19160_00001","Ericsson","1","CI_L2G豊橋原_1","2.1G","71-045","6415727","15MHz","2.1GHz-LTE","EA011","0"
"CI-19160_1","R001746046","CI-19160_00002","Ericsson","2","CI_L2G豊橋原_2","2.1G","71-045","6415727","15MHz","2.1GHz-LTE","EA011","0"
"CI-19160_1","R001746046","CI-19160_00003","Ericsson","3","CI_L2G豊橋原_3","2.1G","71-045","6415727","15MHz","2.1GHz-LTE","EA011","0"
"CI-K0335_1","R001963714","CI-K0335_00001","Ericsson","1","CI_L15G浜松砂山_1","1.5G","74-024","6375262","10MHz","1.5GHz-LTE","EA271","0"
"CI-K0335_1","R001963714","CI-K0335_00002","Ericsson","2","CI_L15G浜松砂山_2","1.5G","74-024","6375262","10MHz","1.5GHz-LTE","EA271","0"
"CI-K0335_1","R001963714","CI-K0335_00003","Ericsson","3","CI_L15G浜松砂山_3","1.5G","74-024","6375262","10MHz","1.5GHz-LTE","EA271","0"
"CI-K0721_1","R001745700","CI-K0721_00001","Ericsson","1","CI_L15G浜松高塚東_1","1.5G","74-066","6415746","10MHz","1.5GHz-LTE","EA041","0"
"CI-K0721_1","R001745700","CI-K0721_00002","Ericsson","2","CI_L15G浜松高塚東_2","1.5G","74-066","6415746","10MHz","1.5GHz-LTE","EA041","0"
"CI-K0721_1","R001745700","CI-K0721_00003","Ericsson","3","CI_L15G浜松高塚東_3","1.5G","74-066","6415746","10MHz","1.5GHz-LTE","EA041","0"
"CI-K0757_1","R001840812","CI-K0757_00001","Ericsson","1","CI_L15G浜松田町_1","1.5G","74-024","6415593","10MHz","1.5GHz-LTE","EA011","0"
"CI-K0757_1","R001840812","CI-K0757_00002","Ericsson","2","CI_L15G浜松田町_2","1.5G","74-024","6415593","10MHz","1.5GHz-LTE","EA011","0"
"CI-K0757_1","R001840812","CI-K0757_00003","Ericsson","3","CI_L15G浜松田町_3","1.5G","74-024","6415593","10MHz","1.5GHz-LTE","EA011","0"
"CI-K1451_1","R001673206","CI-K1451_00001","Ericsson","1","CI_L15G豊田亀首_1","1.5G","71-082","6407670","10MHz","1.5GHz-LTE","EA011","0"
"CI-K1451_1","R001673206","CI-K1451_00002","Ericsson","2","CI_L15G豊田亀首_2","1.5G","71-082","6407670","10MHz","1.5GHz-LTE","EA011","0"
"CI-K1451_1","R001673206","CI-K1451_00003","Ericsson","3","CI_L15G豊田亀首_3","1.5G","71-082","6407670","10MHz","1.5GHz-LTE","EA011","0"
"CI-K1505_1","R001672804","CI-K1505_00001","Ericsson","1","CI_L15G浜松寺島_1","1.5G","74-024","6291115","10MHz","1.5GHz-LTE","EA281","0"
"CI-K1505_1","R001672804","CI-K1505_00002","Ericsson","2","CI_L15G浜松寺島_2","1.5G","74-024","6291115","10MHz","1.5GHz-LTE","EA281","0"
"CI-K1505_1","R001672804","CI-K1505_00003","Ericsson","3","CI_L15G浜松寺島_3","1.5G","74-024","6291115","10MHz","1.5GHz-LTE","EA281","0"
"CI-K1554_1","R001672832","CI-K1554_00001","Ericsson","1","CI_L15G浜松金折_1","1.5G","74-063","6415716","10MHz","1.5GHz-LTE","EA011","0"
"CI-K1554_1","R001672832","CI-K1554_00002","Ericsson","2","CI_L15G浜松金折_2","1.5G","74-063","6415716","10MHz","1.5GHz-LTE","EA011","0"
"CI-K1554_1","R001672832","CI-K1554_00003","Ericsson","3","CI_L15G浜松金折_3","1.5G","74-063","6415716","10MHz","1.5GHz-LTE","EA011","0"
"CI-K1557_1","R001672937","CI-K1557_00001","Ericsson","1","CI_L15G掛川中央_1","1.5G","74-133","6415744","10MHz","1.5GHz-LTE","EA131","0"
"CI-K1557_1","R001672937","CI-K1557_00002","Ericsson","2","CI_L15G掛川中央_2","1.5G","74-133","6415744","10MHz","1.5GHz-LTE","EA131","0"
"CI-K1557_1","R001672937","CI-K1557_00003","Ericsson","3","CI_L15G掛川中央_3","1.5G","74-133","6415744","10MHz","1.5GHz-LTE","EA131","0"
"CI-K1907_1","R001951950","CI-K1907_00001","Ericsson","1","CI_L15G安城桜井西_1","1.5G","71-091","6415725","10MHz","1.5GHz-LTE","EA011","0"
"CI-K1907_1","R001951950","CI-K1907_00002","Ericsson","2","CI_L15G安城桜井西_2","1.5G","71-091","6415725","10MHz","1.5GHz-LTE","EA011","0"
"CI-K1907_1","R001951950","CI-K1907_00003","Ericsson","3","CI_L15G安城桜井西_3","1.5G","71-091","6415725","10MHz","1.5GHz-LTE","EA011","0"
"CI-K2452_1","R001672940","CI-K2452_00001","Ericsson","1","CI_L15G掛川満水_1","1.5G","74-133","6415744","10MHz","1.5GHz-LTE","EA131","0"
"CM-00032_1","R001799920","CM-00032_00001","Ericsson","1","CI_N29G中区栄５第３_1","29G","71-016","6392954","100MHz+100MHz","29GHz-NR","EA901","0"
"CM-00069_1","R001637190","CM-00069_00001","Ericsson","1","CI_N29G東区泉第３_1","29G","71-016","6392679","100MHz+100MHz","29GHz-NR","EA921","0"
"CM-00158_1","R001799567","CM-00158_00001","Ericsson","1","CI_N29G中区大須第６_1","29G","71-016","6392954","100MHz+100MHz","29GHz-NR","EA901","0"
"CM-00170_1","R001799619","CM-00170_00001","Ericsson","1","CI_N29G中区大須東第３_1","29G","71-016","6392954","100MHz+100MHz","29GHz-NR","EA901","0"
"CM-00192_1","R001799666","CM-00192_00001","Ericsson","1","CI_N29G安城桜井町_1","29G","71-091","6392562","100MHz+100MHz","29GHz-NR","EA041","0"
"CM-00193_1","R001799668","CM-00193_00001","Ericsson","1","CI_N29G昭和滝川町_1","29G","71-021","6392416","100MHz+100MHz","29GHz-NR","EA141","0"
"CM-00200_1","R001799674","CM-00200_00001","Ericsson","1","CI_N29G天白八事天道_1","29G","71-021","6392416","100MHz+100MHz","29GHz-NR","EA141","0"
"CM-00204_1","R001799677","CM-00204_00001","Ericsson","1","CI_N29G富士横割本町第２_1","29G","74-116","6392563","100MHz+100MHz","29GHz-NR","EA281","0"
"CM-00205_1","R001799654","CM-00205_00001","Ericsson","1","CI_N29G西区貴生_1","29G","71-010","6392556","100MHz+100MHz+100MHz+100MHz","29GHz-NR","EA111","0"
"CM-00211_1","R001799659","CM-00211_00001","Ericsson","1","CI_N29G清須西市場南_1","29G","71-130","6405807","100MHz+100MHz","29GHz-NR","EA101","0"
"CM-00216_1","R001799706","CM-00216_00001","Ericsson","1","CI_N29G掛川駅前_1","29G","74-133","6390430","100MHz+100MHz","29GHz-NR","EA151","0"
"CM-00225_1","R001799733","CM-00225_00001","Ericsson","1","CI_N29G富士鮫島北_1","29G","74-116","6392563","100MHz+100MHz","29GHz-NR","EA281","0"
"CM-00256_1","R001799779","CM-00256_00001","Ericsson","1","CI_N29G中区千代田第２_1","29G","71-016","6392681","100MHz+100MHz","29GHz-NR","EA931","0"
"CM-00261_1","R001799826","CM-00261_00001","Ericsson","1","CI_N29G中区千代田第５_1","29G","71-016","6392678","100MHz+100MHz+100MHz+100MHz","29GHz-NR","EA911","0"
"CM-00264_1","R001799814","CM-00264_00001","Ericsson","1","CI_N29G中区新栄２第３_1","29G","71-016","6392679","100MHz+100MHz","29GHz-NR","EA921","0"
"CM-00278_1","R001829403","CM-00278_00001","Ericsson","1","CI_N29G名古屋中新栄町_1","29G","71-016","6349739","100MHz+100MHz","29GHz-NR","EA891","0"
"CM-00283_1","R001803238","CM-00283_00001","Ericsson","1","CI_N29G中区栄３第１５_1","29G","71-016","6392681","100MHz+100MHz+100MHz+100MHz","29GHz-NR","EA931","0"
"CM-00290_1","R001799617","CM-00290_00001","Ericsson","1","CI_N29G中区新栄２第４_1","29G","71-016","6392678","100MHz+100MHz","29GHz-NR","EA911","0"
"CM-00291_1","R001799620","CM-00291_00001","Ericsson","1","CI_N29G昭和八事本町_1","29G","71-021","6392442","100MHz+100MHz","29GHz-NR","EA151","0"
"CM-00302_1","R001799494","CM-00302_00001","Ericsson","1","CI_N29G刈谷相生_1","29G","71-077","6442062","100MHz+100MHz","29GHz-NR","EA341","0"
"CM-00305_1","R001799660","CM-00305_00001","Ericsson","1","CI_N29G昭和広路第２_1","29G","71-021","6392447","100MHz+100MHz","29GHz-NR","EA161","0"
"CM-00311_1","R001799646","CM-00311_00001","Ericsson","1","CI_N29G中区大須第７_1","29G","71-016","6392681","100MHz+100MHz","29GHz-NR","EA931","0"
"CM-00323_1","R001799684","CM-00323_00001","Ericsson","1","CI_N29G昭和山手通南第３_1","29G","71-021","6392442","100MHz+100MHz","29GHz-NR","EA151","0"
"CM-00344_1","R001799723","CM-00344_00001","Ericsson","1","CI_N29G清水草薙北第２_1","29G","74-082","6392698","100MHz+100MHz","29GHz-NR","EA211","0"
"CM-00357_1","R001799696","CM-00357_00001","Ericsson","1","CI_N29G富士横割第２_1","29G","74-116","6392566","100MHz+100MHz","29GHz-NR","EA291","0"
"CM-00360_1","R001799736","CM-00360_00001","Ericsson","1","CI_N29G富士横割本町第３_1","29G","74-116","6392563","100MHz+100MHz","29GHz-NR","EA281","0"
"CM-00363_1","R001799739","CM-00363_00001","Ericsson","1","CI_N29G清水草薙北_1","29G","74-082","6392698","100MHz+100MHz","29GHz-NR","EA211","0"
"CM-00370_1","R001799815","CM-00370_00001","Ericsson","1","CI_N29G掛川南第２_1","29G","74-133","6390430","100MHz+100MHz","29GHz-NR","EA151","0"
"CM-00372_1","R001799817","CM-00372_00001","Ericsson","1","CI_N29G昭和八雲_1","29G","71-021","6392416","100MHz+100MHz","29GHz-NR","EA141","0"
"CM-00386_1","R001799855","CM-00386_00001","Ericsson","1","CI_N29G中区新栄北_1","29G","71-006","6349739","100MHz+100MHz+100MHz+100MHz","29GHz-NR","","0"
"CM-00441_1","R001924004","CM-00441_00001","Ericsson","1","CI_N29G（仮）静岡清水押切_1","29G","74-082","6392698","400MHz","29GHz-NR","EA211","0"
"CM-00592_1","R001914447","CM-00592_00001","Ericsson","1","CI_N29G中区栄５第４_1","29G","71-016","6392679","100MHz+100MHz+100MHz+100MHz","29GHz-NR","EA921","0"
"CM-00624_1","R001988855","CM-00624_00001","Ericsson","1","CI_N29G（仮）刈谷一色北_1","29G","71-077","6392466","400MHz","29GHz-NR","EA321","0"
"CM-00625_1","R002007985","CM-00625_00001","Ericsson","1","CI_N29G（仮）愛知刈谷市第１９_1","29G","71-077","6392466","400MHz","29GHz-NR","EA321","0"
"CS-00609_1","R001982222","CS-00609_00001","Ericsson","1","CI_N39G（仮）刈谷南桜町中央_1","3.9G","71-077","6442063","100MHz","3.9GHz-NR","EA331","0"
"CS-00609_1","R001982222","CS-00609_00002","Ericsson","2","CI_N39G（仮）刈谷南桜町中央_2","3.9G","71-077","6442063","100MHz","3.9GHz-NR","EA331","0"
"CS-00609_1","R001982222","CS-00609_00003","Ericsson","3","CI_N39G（仮）刈谷南桜町中央_3","3.9G","71-077","6442063","100MHz","3.9GHz-NR","EA331","0"
"CU-00128_1","R001824628","CU-00128_00001","","1","CI_L34G駿河登呂_1","3.4G","74-004","","20MHz+20MHz","3.4GHz-LTE","","0"
"CU-00128_1","R001824628","CU-00128_00001","","1","CI_N34G駿河登呂_1","3.4G","","","40MHz","3.4GHz-NR","","0"
"CU-00128_1","R001824628","CU-00128_00002","","2","CI_L34G駿河登呂_2","3.4G","74-004","","20MHz+20MHz","3.4GHz-LTE","","0"
"CU-00128_1","R001824628","CU-00128_00002","","2","CI_N34G駿河登呂_2","3.4G","","","40MHz","3.4GHz-NR","","0"
"CU-00128_1","R001824628","CU-00128_00003","","3","CI_L３４Ｇ（仮）駿河登呂_3","3.4G","74-004","","20MHz+20MHz","3.4GHz-LTE","","0"
"CU-00128_1","R001824628","CU-00128_00003","","3","CI_N34G（仮）駿河登呂_3","3.4G","","","40MHz","3.4GHz-NR","","0"
"CU-00338_1","R001824624","CU-00338_00001","","1","CU-00338_1_LTE_D001832855_37_1","3.4G","72-002","6421110","20MHz+20MHz","3.4GHz-LTE","EA011","0"
"CU-00338_1","R001824624","CU-00338_00001","Ericsson","1","CI_N34G岐阜光明_1","3.4G","72-002","6421110","40MHz","3.4GHz-NR","EA011","0"
"CU-00338_1","R001824624","CU-00338_00002","","2","CI_L３４Ｇ（仮）岐阜光明_2","3.4G","72-002","","20MHz+20MHz","3.4GHz-LTE","","0"
"CU-00338_1","R001824624","CU-00338_00003","","3","CI_L３４Ｇ（仮）岐阜光明_3","3.4G","72-002","","20MHz+20MHz","3.4GHz-LTE","","0"
"CU-00728_1","R001792395","CU-00728_00001","","1","CI_L３４Ｇ浜松入野南第３_1","3.4G","74-066","6408147","20MHz+20MHz","3.4GHz-LTE","","0"
"CU-00728_1","R001792395","CU-00728_00001","","1","CI_N34G浜松入野南第３_1","3.4G","74-066","","40MHz","3.4GHz-NR","","0"
"CU-00728_1","R001792395","CU-00728_00002","","2","CI_N34G浜松入野南第３_2","3.4G","74-066","","40MHz","3.4GHz-NR","","0"
"CU-00728_1","R001792395","CU-00728_00002","","2","CI_L３４Ｇ浜松入野南第３_2","3.4G","74-066","6408147","20MHz+20MHz","3.4GHz-LTE","","0"
"CU-00728_1","R001792395","CU-00728_00003","","3","CI_N34G浜松入野南第３_3","3.4G","74-066","","40MHz","3.4GHz-NR","","0"
"CU-00728_1","R001792395","CU-00728_00003","","3","CI_L３４Ｇ浜松入野南第３_3","3.4G","74-066","6408147","20MHz+20MHz","3.4GHz-LTE","","0"
"CU-00729_1","R001792391","CU-00729_00001","","1","CI_L34G浜松鴨江_1","3.4G","74-024","","20MHz+20MHz","3.4GHz-LTE","","0"
"CU-00729_1","R001792391","CU-00729_00001","","1","CI_N34G浜松鴨江_1","3.4G","","","40MHz","3.4GHz-NR","","0"
"CU-00729_1","R001792391","CU-00729_00002","","2","CI_L34G浜松鴨江_2","3.4G","74-024","","20MHz+20MHz","3.4GHz-LTE","","0"
"CU-00729_1","R001792391","CU-00729_00002","","2","CI_N34G浜松鴨江_2","3.4G","","","40MHz","3.4GHz-NR","","0"
"CU-00791_1","R001825779","CU-00791_00001","Ericsson","1","CI_N34G浜松池町_1","3.4G","74-024","","40MHz","3.4GHz-NR","","0"
"CU-00791_1","R001825779","CU-00791_00001","","1","CI_L34G浜松池町_1","3.4G","74-024","6447766","20MHz+20MHz","3.4GHz-LTE","EA161","0"
"CU-00791_1","R001825779","CU-00791_00002","Ericsson","2","CI_N34G浜松池町_2","3.4G","74-024","","40MHz","3.4GHz-NR","","0"
"CU-00791_1","R001825779","CU-00791_00002","","2","CI_L34G浜松池町_2","3.4G","74-024","6447766","20MHz+20MHz","3.4GHz-LTE","EA161","0"
"CU-00791_1","R001825779","CU-00791_00003","Ericsson","3","CI_N34G浜松池町_3","3.4G","74-024","","40MHz","3.4GHz-NR","","0"
"CU-00791_1","R001825779","CU-00791_00003","","3","CI_L34G浜松池町_3","3.4G","74-024","6447766","20MHz+20MHz","3.4GHz-LTE","EA161","0"
"CU-01018_1","R001930417","CU-01018_00001","","1","CI_N34G葵黒金町_1","3.4G","74-004","","40MHz","3.4GHz-NR","","0"
"CU-01428_1","R001903831","CU-01428_00001","","1","CI_L３４Ｇ（仮）沼津駅_1","3.4G","74-071","","20MHz+20MHz","3.4GHz-LTE","","0"
"CU-01428_1","R001903831","CU-01428_00001","","1","CI_N34G（仮）沼津駅_1","3.4G","74-071","","40MHz","3.4GHz-NR","","0"
"CU-01428_1","R001903831","CU-01428_00002","","2","CI_L３４Ｇ（仮）沼津駅_2","3.4G","74-071","","20MHz+20MHz","3.4GHz-LTE","","0"
"CU-01428_1","R001903831","CU-01428_00002","","2","CI_N34G（仮）沼津駅_2","3.4G","74-071","","40MHz","3.4GHz-NR","","0"
"CU-01428_1","R001903831","CU-01428_00003","","3","CI_L３４Ｇ（仮）沼津駅_3","3.4G","74-071","","20MHz+20MHz","3.4GHz-LTE","","0"
"CU-01428_1","R001903831","CU-01428_00003","","3","CI_N34G（仮）沼津駅_3","3.4G","74-071","","40MHz","3.4GHz-NR","","0"
"CU-01450_1","R001815275","CU-01450_00002","","2","CI_L34GＫＤ小牧中央_2","3.4G","","","20MHz+20MHz","3.4GHz-LTE","","0"
"CU-01450_1","R001815275","CU-01450_00003","","3","CI_L34GＫＤ小牧中央_3","3.4G","","","20MHz+20MHz","3.4GHz-LTE","","0"
"CU-01466_1","R001815283","CU-01466_00001","","1","CI_L34GＫＤ津市栄町_1","3.4G","","","20MHz+20MHz","3.4GHz-LTE","","0"
